x,y
1,21
2,90
3,90
4,59
5,0
6,10
7,45
8,91
9,100
10,42
11,9
12,5
13,55
14,40
15,0
16,77
17,67
18,80
19,40
20,53
21,39
22,29
23,48
24,39
25,82
26,14
27,96
28,98
29,23
30,74
31,27
32,65
33,45
34,92
35,29
36,40
37,24
38,1
39,1
40,1
41,24
42,44
43,72
44,50
45,24
46,37
47,34
48,89
49,49
50,98
51,14
52,44
53,97
54,69
55,57
56,81
57,64
58,38
59,56
60,3
61,26
62,55
63,50
64,92
65,85
66,37
67,37
68,45
69,91
70,21
71,32
72,84
73,96
74,3
75,37
76,54
77,75
78,28
79,96
80,31
81,2
82,47
83,73
84,28
85,35
86,49
87,82
88,1
89,4
90,52
91,93
92,84
93,9
94,95
95,70
96,82
97,56
98,7
99,24
100,16
