x,y
1,28
2,9
3,66
4,10
5,26
6,92
7,95
8,32
9,90
10,13
11,56
12,69
13,27
14,21
15,100
16,62
17,4
18,80
19,49
20,27
21,2
22,63
23,12
24,3
25,15
26,25
27,81
28,12
29,58
30,58
31,9
32,1
33,45
34,10
35,67
36,9
37,86
38,97
39,31
40,51
41,45
42,37
43,32
44,55
45,26
46,50
47,35
48,55
49,67
50,58
51,1
52,8
53,94
54,50
55,88
56,16
57,50
58,21
59,94
60,92
61,59
62,4
63,79
64,22
65,100
66,54
67,66
68,26
69,52
70,37
71,39
72,38
73,33
74,0
75,46
76,76
77,0
78,73
79,89
80,51
81,7
82,80
83,89
84,30
85,30
86,50
87,37
88,60
89,46
90,6
91,27
92,22
93,13
94,74
95,20
96,13
97,10
98,28
99,97
100,61
