x,y
1,46
2,15
3,86
4,100
5,49
6,14
7,40
8,24
9,34
10,19
11,92
12,63
13,48
14,90
15,11
16,91
17,66
18,79
19,89
20,75
21,73
22,65
23,98
24,91
25,31
26,49
27,86
28,31
29,48
30,99
31,64
32,3
33,93
34,3
35,73
36,65
37,47
38,40
39,5
40,21
41,29
42,74
43,55
44,61
45,60
46,52
47,35
48,51
49,92
50,42
51,47
52,71
53,84
54,90
55,22
56,9
57,92
58,89
59,3
60,98
61,5
62,56
63,27
64,41
65,2
66,82
67,63
68,83
69,23
70,18
71,29
72,36
73,35
74,60
75,35
76,91
77,64
78,97
79,85
80,28
81,85
82,72
83,15
84,32
85,0
86,61
87,64
88,65
89,87
90,34
91,34
92,14
93,100
94,14
95,31
96,78
97,4
98,24
99,20
100,28
