x,y
1,68
2,8
3,72
4,28
5,99
6,12
7,19
8,66
9,17
10,43
11,47
12,81
13,64
14,27
15,85
16,84
17,30
18,82
19,64
20,90
21,25
22,89
23,84
24,20
25,51
26,70
27,50
28,80
29,59
30,30
31,86
32,64
33,59
34,6
35,39
36,24
37,19
38,59
39,30
40,86
41,53
42,99
43,66
44,56
45,24
46,74
47,3
48,3
49,90
50,55
51,8
52,79
53,70
54,31
55,83
56,73
57,41
58,81
59,90
60,28
61,65
62,71
63,15
64,62
65,94
66,24
67,44
68,48
69,15
70,26
71,78
72,60
73,58
74,19
75,74
76,39
77,6
78,2
79,37
80,37
81,28
82,76
83,86
84,25
85,78
86,33
87,0
88,78
89,24
90,42
91,67
92,53
93,60
94,87
95,80
96,65
97,58
98,5
99,84
100,86
