x,y
1,77
2,21
3,30
4,92
5,58
6,0
7,57
8,85
9,17
10,48
11,33
12,0
13,46
14,6
15,92
16,32
17,23
18,62
19,93
20,0
21,35
22,78
23,44
24,75
25,84
26,22
27,27
28,53
29,19
30,25
31,88
32,24
33,79
34,22
35,62
36,78
37,25
38,14
39,46
40,18
41,79
42,78
43,43
44,37
45,35
46,65
47,32
48,58
49,0
50,70
51,78
52,23
53,0
54,25
55,18
56,32
57,29
58,67
59,85
60,85
61,41
62,3
63,19
64,15
65,4
66,5
67,43
68,15
69,87
70,77
71,24
72,1
73,100
74,87
75,98
76,22
77,84
78,85
79,30
80,15
81,51
82,8
83,24
84,87
85,39
86,12
87,6
88,50
89,52
90,63
91,90
92,66
93,47
94,90
95,30
96,49
97,49
98,25
99,32
100,64
