x,y
1,19
2,56
3,23
4,51
5,32
6,43
7,15
8,49
9,65
10,82
11,74
12,91
13,87
14,23
15,52
16,66
17,59
18,14
19,78
20,48
21,46
22,32
23,59
24,41
25,24
26,41
27,23
28,15
29,24
30,57
31,2
32,59
33,23
34,66
35,74
36,78
37,91
38,49
39,72
40,93
41,94
42,79
43,54
44,5
45,91
46,86
47,19
48,67
49,99
50,77
51,50
52,58
53,11
54,77
55,96
56,82
57,5
58,82
59,11
60,5
61,81
62,14
63,73
64,50
65,43
66,18
67,64
68,11
69,31
70,98
71,56
72,86
73,52
74,15
75,10
76,17
77,37
78,55
79,56
80,96
81,86
82,31
83,0
84,52
85,26
86,45
87,90
88,35
89,79
90,33
91,0
92,18
93,61
94,87
95,81
96,44
97,52
98,16
99,25
100,16
