x,y
1,83
2,31
3,15
4,67
5,2
6,95
7,100
8,78
9,21
10,52
11,85
12,61
13,13
14,6
15,4
16,64
17,5
18,93
19,94
20,17
21,89
22,22
23,13
24,27
25,25
26,89
27,31
28,34
29,10
30,76
31,41
32,13
33,92
34,59
35,42
36,87
37,0
38,73
39,69
40,30
41,3
42,69
43,78
44,23
45,24
46,44
47,91
48,70
49,53
50,36
51,2
52,5
53,40
54,70
55,15
56,62
57,90
58,3
59,28
60,11
61,4
62,91
63,5
64,47
65,64
66,50
67,50
68,78
69,24
70,96
71,47
72,70
73,98
74,99
75,88
76,72
77,11
78,71
79,57
80,24
81,54
82,41
83,26
84,28
85,82
86,35
87,24
88,54
89,3
90,17
91,69
92,44
93,44
94,48
95,3
96,31
97,30
98,89
99,53
100,57
