x,y
1,29
2,94
3,27
4,56
5,50
6,10
7,80
8,25
9,75
10,56
11,55
12,64
13,49
14,24
15,52
16,56
17,40
18,42
19,16
20,63
21,24
22,76
23,20
24,95
25,59
26,32
27,91
28,30
29,29
30,53
31,95
32,79
33,44
34,0
35,16
36,78
37,11
38,36
39,40
40,85
41,73
42,47
43,55
44,76
45,56
46,68
47,29
48,73
49,25
50,95
51,38
52,38
53,85
54,63
55,15
56,65
57,74
58,56
59,24
60,76
61,65
62,28
63,44
64,65
65,47
66,19
67,64
68,93
69,17
70,17
71,28
72,75
73,42
74,49
75,33
76,98
77,17
78,14
79,13
80,76
81,64
82,76
83,38
84,90
85,74
86,74
87,7
88,13
89,58
90,94
91,39
92,68
93,59
94,9
95,8
96,35
97,97
98,28
99,44
100,70
